2024-04-07 13:51:52, 10.116.172.70, 104.222.20.6, UDP
2024-04-07 13:51:52, 104.222.20.6, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 184.31.52.29, 10.116.172.70, TCP
2024-04-07 13:51:52, 10.116.172.70, 184.31.52.29, TCP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:52, 10.116.172.70, 17.248.136.168, UDP
